step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,0_stopped,0_accumulated_waiting_time,0_average_speed,1_stopped,1_accumulated_waiting_time,1_average_speed,10_stopped,10_accumulated_waiting_time,10_average_speed,11_stopped,11_accumulated_waiting_time,11_average_speed,12_stopped,12_accumulated_waiting_time,12_average_speed,13_stopped,13_accumulated_waiting_time,13_average_speed,14_stopped,14_accumulated_waiting_time,14_average_speed,15_stopped,15_accumulated_waiting_time,15_average_speed,2_stopped,2_accumulated_waiting_time,2_average_speed,3_stopped,3_accumulated_waiting_time,3_average_speed,4_stopped,4_accumulated_waiting_time,4_average_speed,5_stopped,5_accumulated_waiting_time,5_average_speed,6_stopped,6_accumulated_waiting_time,6_average_speed,7_stopped,7_accumulated_waiting_time,7_average_speed,8_stopped,8_accumulated_waiting_time,8_average_speed,9_stopped,9_accumulated_waiting_time,9_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
5.0,0,0.0,0.0,13.312975554783252,0,0.0,0.9659986800764677,0,0.0,0.9709801545493811,0,0.0,1.0,0,0.0,1.0,0,0.0,0.964937647533686,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9682187137874908,0,0.0,0.9640353886569873,0,0.0,0.9677636027561087,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9657148762006121,0,0.0,1.0,0,0.0
10.0,0,0.0,0.0,13.387564694793792,0,0.0,0.9717160340385316,0,0.0,0.9781917599081942,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9739572422079149,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9758568275545283,0,0.0,0.9730449566831447,0,0.0,0.9689545939984322,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9744983960418546,0,0.0,1.0,0,0.0
15.0,1,1.0,0.025,11.896879165473004,1,1.0,0.8229406106665796,0,0.0,0.7562303756083476,0,0.0,1.0,0,0.0,1.0,0,0.0,0.979057777600311,0,0.0,0.9793021141993268,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9308459348887145,0,0.0,0.7361902494010436,0,0.0,0.9531156070324013,0,0.0,0.9107383043625826,0,0.0,0.9244304117313606,0,0.0,1.0,0,0.0,0.9529532711760823,0,0.0,0.9805461569572941,1,1.0
20.0,7,22.0,0.39285714285714285,10.423317500209047,2,8.0,0.6670665967483722,1,4.0,0.6915427771308155,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9729995516619933,0,0.0,0.9026418436677316,0,0.0,1.0,0,0.0,1.0,1,3.0,0.5731110161097329,3,7.0,0.5463404338456889,0,0.0,0.9379461632248226,0,0.0,0.9070453084390233,0,0.0,0.8398788449778289,0,0.0,1.0,0,0.0,0.9380365901154735,0,0.0,0.9670533968965517,7,22.0
25.0,8,42.0,0.5833333333333334,9.344538739786396,4,25.0,0.5702496342108674,0,0.0,0.7777314841330658,0,0.0,1.0,0,0.0,1.0,0,0.0,0.8547509589967055,0,0.0,0.9277034898321629,0,0.0,1.0,0,0.0,1.0,3,16.0,0.46710577444090245,0,4.0,0.6252113534694658,0,0.0,0.9642211669745901,0,4.0,0.6791872848095976,1,1.0,0.0007605792957744618,0,4.0,0.5147288247694628,0,0.0,0.8259261931957834,0,0.0,0.7370839659608148,8,54.0
30.0,10,26.0,0.325,8.444079613782549,0,18.0,0.5263953337509935,1,3.0,0.692148705173324,0,2.0,0.4405014564560173,0,0.0,1.0,2,5.0,0.45753079167622984,0,0.0,0.9130946672095792,0,0.0,0.8614041357932756,0,0.0,1.0,0,9.0,0.5249755254837997,0,0.0,0.9688938211464269,1,5.0,0.616130686046344,2,9.0,0.6987534931460346,0,4.0,0.43299169045265984,0,4.0,0.8461945381677509,1,4.0,0.5406062878085618,3,8.0,0.3769615921510036,10,71.0
35.0,16,78.0,0.8125,9.05919113592882,3,8.0,0.5983287184464792,3,16.0,0.6362711082051534,0,2.0,0.9371440512507075,0,0.0,1.0,0,2.0,0.6297149066379318,0,2.0,0.6655205117226062,0,0.0,0.9021528178349159,0,0.0,1.0,0,0.0,0.9013186408740115,0,0.0,0.7544180242759401,2,13.0,0.6302896942706806,4,23.0,0.5303002490577574,0,4.0,0.8345489680602406,0,4.0,0.928741507884958,0,2.0,0.6853567577010965,4,28.0,0.1425695941469978,16,104.0
40.0,22,114.0,1.0178571428571428,8.127843206334203,4,26.0,0.5626928590207402,2,9.0,0.48421987895008783,0,2.0,0.6570626668889246,0,0.0,1.0,0,0.0,0.9401844070517031,0,2.0,0.8512294809397535,2,3.0,0.1751708903066528,0,0.0,1.0,0,2.0,0.6362593605719985,2,6.0,0.48973465223975987,5,34.0,0.6574415090791473,2,18.0,0.2777870481113761,0,6.0,0.7759825079116471,1,5.0,0.20083321788598438,0,0.0,0.9556432511542133,4,48.0,0.5701648322285977,22,161.0
45.0,25,124.0,1.0333333333333334,7.144133357063809,0,19.0,0.5376207862711346,3,15.0,0.42021474403046116,0,4.0,0.4528976627320021,0,0.0,1.0,0,0.0,0.7077823597826505,0,2.0,0.800236105364195,0,3.0,0.354306890085007,0,4.0,0.5063595260073914,3,13.0,0.609649143021949,0,7.0,0.6222647024504047,6,56.0,0.4909536169087443,5,22.0,0.001524588786155438,1,8.0,0.5173454079093497,6,25.0,0.0012053182583827465,1,3.0,0.7445418197834717,0,27.0,0.6821954286294751,25,208.0
50.0,14,46.0,0.3382352941176471,8.092415289944835,3,7.0,0.5950086624083893,0,11.0,0.677489157060035,0,7.0,0.7679206618616184,0,2.0,0.535809718975323,2,6.0,0.5954413359522505,1,3.0,0.6365724317267412,0,0.0,0.9347766998344756,0,4.0,0.8851346149500264,0,11.0,0.73181017683949,0,0.0,0.8876131853565912,3,51.0,0.2754473971060137,0,30.0,0.31875342633062764,1,15.0,0.5385728067206764,0,27.0,0.5754126710730312,3,14.0,0.65288336362923,1,8.0,0.4669192529457507,14,196.0
55.0,15,38.0,0.25,9.10345458208267,3,11.0,0.531596956822692,0,4.0,0.897119131319219,0,5.0,0.9085745335364783,0,4.0,0.8580338848419325,0,1.0,0.6224154952472309,1,5.0,0.3573193824810823,0,0.0,0.8093176292326133,0,4.0,0.9630125273549166,1,5.0,0.626173251270872,1,2.0,0.6905138511717315,5,31.0,0.37671989068829437,0,8.0,0.8291506535225349,2,11.0,0.47930148213663876,0,3.0,0.9058507981084537,0,4.0,0.5677589883027709,2,13.0,0.5386059638408363,15,111.0
