step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,TL_stopped,TL_accumulated_waiting_time,TL_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
10.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
15.0,0,0.0,0.0,11.770677356724395,0,0.0,0.9669340210019125,0,0.0
20.0,0,0.0,0.0,11.89696322760964,0,0.0,0.977308114287295,0,0.0
25.0,0,0.0,0.0,12.013833429442721,0,0.0,0.9869087320571133,0,0.0
30.0,0,0.0,0.0,12.081321623183788,0,0.0,0.9345338120676484,0,0.0
35.0,0,0.0,0.0,12.368245161688327,0,0.0,0.918440466704082,0,0.0
40.0,0,0.0,0.0,13.117098246143831,0,0.0,0.9808656183168651,0,0.0
45.0,0,0.0,0.0,13.007651808595346,0,0.0,0.9592680223272239,0,0.0
50.0,0,0.0,0.0,13.2558390950108,0,0.0,0.9759986603046921,0,0.0
55.0,0,0.0,0.0,12.876850380872428,0,0.0,0.9438456495847183,0,0.0
60.0,0,0.0,0.0,12.915788079131948,0,0.0,0.959392390794964,0,0.0
65.0,0,0.0,0.0,13.160697272304581,0,0.0,0.9568353102614973,0,0.0
70.0,0,0.0,0.0,13.575518971781642,0,0.0,0.9831760881855266,0,0.0
75.0,0,0.0,0.0,12.958332884533963,0,0.0,0.9316832280285848,0,0.0
80.0,1,3.0,0.21428571428571427,12.115279427317896,1,3.0,0.8599863798398576,1,3.0
85.0,2,12.0,0.75,11.646045126543749,2,12.0,0.8100193099675853,2,12.0
90.0,2,22.0,1.375,12.081485705482041,2,22.0,0.8423066382002494,2,22.0
95.0,2,32.0,1.6842105263157894,11.84477486453338,2,32.0,0.81710673931331,2,32.0
100.0,3,44.0,1.8333333333333333,11.521036523023485,3,44.0,0.8048033226488085,3,44.0
105.0,3,59.0,2.185185185185185,11.704175119907424,3,59.0,0.8386944241480201,3,59.0
110.0,3,74.0,2.5517241379310347,11.671943802747565,3,74.0,0.8320347832473475,3,74.0
115.0,5,94.0,3.2413793103448274,10.727545313293835,5,94.0,0.7477718391698618,5,94.0
120.0,6,123.0,4.1,10.563684147440243,6,123.0,0.7366194388039954,6,123.0
125.0,6,153.0,4.5,10.80353609926656,6,153.0,0.7520826324450709,6,153.0
130.0,8,188.0,5.371428571428571,10.308313568006348,8,188.0,0.6891344759532937,8,188.0
135.0,9,231.0,6.078947368421052,10.309113602045926,9,231.0,0.70120856739928,9,231.0
140.0,9,276.0,6.9,10.313165777377666,9,276.0,0.7132634370672973,9,276.0
145.0,10,322.0,7.853658536585366,9.825919505191036,10,322.0,0.6832448560369212,10,322.0
150.0,11,377.0,8.568181818181818,9.574560557006533,11,377.0,0.6716084735869637,11,377.0
155.0,12,437.0,9.71111111111111,9.730186346911234,12,437.0,0.6727013089952038,12,437.0
160.0,12,497.0,9.745098039215685,9.38461446987015,12,497.0,0.6228243076792784,12,497.0
165.0,15,571.0,10.574074074074074,9.440538270667927,15,571.0,0.6197611890870998,15,571.0
170.0,16,650.0,11.403508771929825,9.53296525374717,16,650.0,0.6324362707680453,16,650.0
175.0,11,356.0,5.741935483870968,9.484629680718426,11,726.0,0.6390565321434838,11,726.0
180.0,6,208.0,3.0588235294117645,10.213693177818397,6,282.0,0.7828313532680654,6,282.0
185.0,6,238.0,3.449275362318841,10.77950648389981,6,242.0,0.8092361432014905,6,242.0
190.0,10,280.0,3.6842105263157894,11.099603800485562,10,280.0,0.7752661717075038,10,280.0
195.0,10,330.0,4.074074074074074,11.597126754567299,10,330.0,0.7840870313259344,10,330.0
200.0,12,386.0,4.595238095238095,11.26625086229682,12,386.0,0.7428274082197007,12,386.0
205.0,15,457.0,5.376470588235295,11.212470634518887,15,457.0,0.7305523847682999,15,457.0
210.0,15,532.0,6.114942528735632,11.163480775909358,15,532.0,0.7141493668308342,15,532.0
215.0,17,611.0,6.641304347826087,10.931013410886182,17,611.0,0.6975518744968237,17,611.0
220.0,17,696.0,7.1020408163265305,11.194500459813781,17,696.0,0.7289048823075719,17,696.0
225.0,17,781.0,7.732673267326732,11.288173409024616,17,781.0,0.7419258711815151,17,781.0
230.0,17,866.0,8.093457943925234,11.265304496059606,17,866.0,0.733165985808557,17,866.0
235.0,20,956.0,8.770642201834862,10.815278298227426,20,956.0,0.6973799041222024,20,956.0
240.0,19,791.0,7.1909090909090905,10.000940348722603,19,1059.0,0.6371982189820633,19,1059.0
245.0,18,662.0,6.0181818181818185,9.88296544745699,18,731.0,0.6836391671580391,18,731.0
250.0,21,762.0,6.803571428571429,9.80046676778372,21,763.0,0.6632077202397737,21,763.0
255.0,24,878.0,7.6347826086956525,10.334636137573872,24,878.0,0.6683954046413538,24,878.0
260.0,20,889.0,7.470588235294118,10.340598159391583,20,996.0,0.670612024042547,20,996.0
265.0,10,829.0,6.851239669421488,10.547370039951312,10,888.0,0.7515513909595786,10,888.0
270.0,11,884.0,7.129032258064516,10.90628579816526,11,889.0,0.7930573378726107,11,889.0
275.0,15,949.0,7.3565891472868215,10.952602246855042,15,949.0,0.7517238328632079,15,949.0
280.0,18,1037.0,7.796992481203008,11.26516672432097,18,1037.0,0.7311996245679157,18,1037.0
285.0,16,1086.0,7.869565217391305,10.909889371761546,16,1131.0,0.6968747338819911,16,1131.0
290.0,20,1159.0,8.161971830985916,10.607399395533196,20,1159.0,0.7064474034862468,20,1159.0
