step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,0_stopped,0_accumulated_waiting_time,0_average_speed,1_stopped,1_accumulated_waiting_time,1_average_speed,10_stopped,10_accumulated_waiting_time,10_average_speed,11_stopped,11_accumulated_waiting_time,11_average_speed,12_stopped,12_accumulated_waiting_time,12_average_speed,13_stopped,13_accumulated_waiting_time,13_average_speed,14_stopped,14_accumulated_waiting_time,14_average_speed,15_stopped,15_accumulated_waiting_time,15_average_speed,2_stopped,2_accumulated_waiting_time,2_average_speed,3_stopped,3_accumulated_waiting_time,3_average_speed,4_stopped,4_accumulated_waiting_time,4_average_speed,5_stopped,5_accumulated_waiting_time,5_average_speed,6_stopped,6_accumulated_waiting_time,6_average_speed,7_stopped,7_accumulated_waiting_time,7_average_speed,8_stopped,8_accumulated_waiting_time,8_average_speed,9_stopped,9_accumulated_waiting_time,9_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
5.0,0,0.0,0.0,12.958389558043518,0,0.0,0.9294048713090299,0,0.0,0.9294507269228003,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9312706314690442,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9184304970895489,0,0.0,0.9363766919064875,0,0.0,0.9310114593591048,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9316637910520223,0,0.0,1.0,0,0.0
10.0,0,0.0,0.0,13.016283347643508,0,0.0,0.9643378741768952,0,0.0,0.9641073551238197,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9652649318247937,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9592614079916961,0,0.0,0.9676790503855124,0,0.0,0.9648565106117293,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.8560870396375438,0,0.0,1.0,0,0.0
15.0,3,4.0,0.1,10.879691540119355,1,1.0,0.8206110006098521,0,0.0,0.7362377834700362,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9570560104653593,0,0.0,0.8674481294125115,0,0.0,1.0,0,0.0,1.0,1,2.0,0.7499895445246957,1,1.0,0.5980903001195134,0,0.0,0.9438767153704447,0,0.0,0.9637582843476198,0,0.0,1.0,0,0.0,1.0,0,0.0,0.8876994368093635,0,0.0,0.3848445046605325,3,4.0
20.0,9,32.0,0.5714285714285714,10.36240446014265,3,8.0,0.643812529149024,2,6.0,0.6760869586142733,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9560648216702814,0,0.0,0.938177497535055,0,0.0,1.0,0,0.0,1.0,2,8.0,0.4769398577622095,2,10.0,0.6004278641130433,0,0.0,0.9434628209027789,0,0.0,0.9150629931722704,0,0.0,1.0,0,0.0,1.0,0,0.0,0.957991152435212,0,0.0,0.9077957078607515,9,32.0
25.0,0,0.0,0.0,9.91948656232227,0,5.0,0.7319458080239167,0,3.0,0.6424064889102231,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9563225420716612,0,0.0,0.9365170097081703,0,0.0,1.0,0,0.0,1.0,0,5.0,0.6253655963074829,0,3.0,0.5897473168109447,0,4.0,0.6796522279154501,0,4.0,0.662392244954341,0,2.0,0.3834507041541439,0,4.0,0.3748148490635351,0,0.0,0.9534556664951405,0,0.0,0.8807272155521593,0,30.0
30.0,13,28.0,0.35,10.081667979642255,2,3.0,0.6536373511436674,3,8.0,0.5060573893461341,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9424482750870391,0,0.0,0.9397346272727753,0,0.0,0.9412811470249635,0,0.0,1.0,0,0.0,0.8906143678188765,0,0.0,0.8637488459891898,3,11.0,0.6772839773563288,2,9.0,0.7051574306878414,0,3.0,0.8316493581317493,0,4.0,0.8465954842172095,0,0.0,0.9483752566502858,3,5.0,0.5240897242791822,13,43.0
35.0,12,51.0,0.53125,9.163929506564747,0,3.0,0.7313468183845216,1,10.0,0.5149188020946324,0,0.0,1.0,0,0.0,1.0,1,1.0,0.7090551972928558,0,0.0,0.9184655835180525,0,0.0,0.9506368407927918,0,0.0,1.0,1,5.0,0.5603525737375538,1,1.0,0.7704398437729842,3,26.0,0.6302303442180721,0,4.0,0.7137460605680734,0,5.0,0.8275313090000644,0,4.0,0.8465177746915499,1,1.0,0.6558794560389719,4,22.0,0.268843317321439,12,82.0
40.0,21,107.0,0.9553571428571429,8.283917074341318,2,7.0,0.7030601276977275,3,15.0,0.6696407468175262,0,2.0,0.7523367359313496,0,0.0,1.0,2,8.0,0.5423600258449927,0,0.0,1.0,0,0.0,0.9404108603262413,0,0.0,0.9816819112252866,3,20.0,0.6320761981733012,1,6.0,0.5671573780215479,5,44.0,0.4459834970239663,1,6.0,0.2642461660044651,0,2.0,0.8853647117925658,2,8.0,0.3783913109814322,2,9.0,0.6722154138702957,0,18.0,0.12674506569254945,21,145.0
45.0,27,184.0,1.5333333333333334,7.477721097554456,0,3.0,0.7142965878362317,0,10.0,0.6785918589979953,0,4.0,0.8487048915968014,0,0.0,1.0,4,23.0,0.3621278188232077,0,0.0,1.0,0,0.0,0.8841511572581617,0,0.0,0.9812525034374523,5,40.0,0.5302383001022746,0,1.0,0.5517470117950806,7,78.0,0.22440217358347248,0,8.0,0.2970517316958221,1,4.0,0.6286399478235417,6,30.0,0.0433324045367501,4,23.0,0.6200202516599783,0,4.0,0.516255762842484,27,228.0
50.0,22,193.0,1.4191176470588236,7.557678640458318,1,1.0,0.7187619497863971,1,3.0,0.4587328501035101,0,4.0,0.894111301837949,0,4.0,0.4216998372013384,0,14.0,0.5613492889979563,0,4.0,0.3719850836140709,1,2.0,0.3885327555403837,1,1.0,0.3000852847755779,0,26.0,0.3145701100975297,0,0.0,0.9578017427996851,9,122.0,0.42460501547377266,0,4.0,0.811158991024012,2,12.0,0.3213029256678434,1,32.0,0.5854032116244398,5,48.0,0.49022732121037266,1,8.0,0.7351753123872601,22,285.0
